plate_key,population,acclimation_level,well,percentage,expt_light_level,plate,multitron,slot,read_at_19_12_18_0900,read_at_19_12_18_1500
1,33,HL,G03,50,L8,22,4,15,1,1
1,33,HL,G03,70,L9,25,6,3,1,NA
1,33,HL,G03,100,L10,28,5,3,1,NA
2,28,LL,B02,0.1,L1,2,5,16,1,NA
2,28,LL,B02,0.5-0.7,L2,5,5,20,1,NA
2,28,LL,B02,2,L3,8,5,9,1,NA
2,28,LL,B02,5,L4,11,4,9,1,1
2,28,LL,B02,11,L5,14,6,2,1,NA
2,28,HL,B02,20,L6,17,4,2,1,NA
2,28,HL,B02,33,L7,20,6,6,1,NA
2,28,HL,B02,50,L8,23,4,3,1,1
2,28,HL,B02,70,L9,26,6,10,1,NA
2,28,HL,B02,100,L10,29,4,4,1,1
2,4,LL,B03,0.1,L1,2,5,16,1,NA
2,4,LL,B03,0.5-0.7,L2,5,5,20,1,NA
2,4,LL,B03,2,L3,8,5,9,1,NA
2,4,LL,B03,5,L4,11,4,9,1,1
2,4,LL,B03,11,L5,14,6,2,1,NA
2,4,HL,B03,20,L6,17,4,2,1,NA
2,4,HL,B03,33,L7,20,6,6,1,NA
2,4,HL,B03,50,L8,23,4,3,1,1
2,4,HL,B03,70,L9,26,6,10,1,NA
2,4,HL,B03,100,L10,29,4,4,1,1
2,31,LL,B04,0.1,L1,2,5,16,1,NA
2,31,LL,B04,0.5-0.7,L2,5,5,20,1,NA
2,31,LL,B04,2,L3,8,5,9,1,NA
2,31,LL,B04,5,L4,11,4,9,1,1
2,31,LL,B04,11,L5,14,6,2,1,NA
2,31,HL,B04,20,L6,17,4,2,1,NA
2,31,HL,B04,33,L7,20,6,6,1,NA
2,31,HL,B04,50,L8,23,4,3,1,1
2,31,HL,B04,70,L9,26,6,10,1,NA
2,31,HL,B04,100,L10,29,4,4,1,1
2,22,LL,B05,0.1,L1,2,5,16,1,NA
2,22,LL,B05,0.5-0.7,L2,5,5,20,1,NA
2,22,LL,B05,2,L3,8,5,9,1,NA
2,22,LL,B05,5,L4,11,4,9,1,1
2,22,LL,B05,11,L5,14,6,2,1,NA
2,22,HL,B05,20,L6,17,4,2,1,NA
2,22,HL,B05,33,L7,20,6,6,1,NA
2,22,HL,B05,50,L8,23,4,3,1,1
2,22,HL,B05,70,L9,26,6,10,1,NA
2,22,HL,B05,100,L10,29,4,4,1,1
2,anc2,LL,B06,0.1,L1,2,5,16,1,NA
2,anc2,LL,B06,0.5-0.7,L2,5,5,20,1,NA
2,anc2,LL,B06,2,L3,8,5,9,1,NA
2,anc2,LL,B06,5,L4,11,4,9,1,1
2,anc2,LL,B06,11,L5,14,6,2,1,NA
2,anc2,HL,B06,20,L6,17,4,2,1,NA
2,anc2,HL,B06,33,L7,20,6,6,1,NA
2,anc2,HL,B06,50,L8,23,4,3,1,1
2,anc2,HL,B06,70,L9,26,6,10,1,NA
2,anc2,HL,B06,100,L10,29,4,4,1,1
2,27,LL,B07,0.1,L1,2,5,16,1,NA
2,27,LL,B07,0.5-0.7,L2,5,5,20,1,NA
2,27,LL,B07,2,L3,8,5,9,1,NA
2,27,LL,B07,5,L4,11,4,9,1,1
2,27,LL,B07,11,L5,14,6,2,1,NA
2,27,HL,B07,20,L6,17,4,2,1,NA
2,27,HL,B07,33,L7,20,6,6,1,NA
2,27,HL,B07,50,L8,23,4,3,1,1
2,27,HL,B07,70,L9,26,6,10,1,NA
2,27,HL,B07,100,L10,29,4,4,1,1
2,17,LL,B08,0.1,L1,2,5,16,1,NA
2,17,LL,B08,0.5-0.7,L2,5,5,20,1,NA
2,17,LL,B08,2,L3,8,5,9,1,NA
2,17,LL,B08,5,L4,11,4,9,1,1
2,17,LL,B08,11,L5,14,6,2,1,NA
2,17,HL,B08,20,L6,17,4,2,1,NA
2,17,HL,B08,33,L7,20,6,6,1,NA
2,17,HL,B08,50,L8,23,4,3,1,1
2,17,HL,B08,70,L9,26,6,10,1,NA
2,17,HL,B08,100,L10,29,4,4,1,1
2,26,LL,B09,0.1,L1,2,5,16,1,NA
2,26,LL,B09,0.5-0.7,L2,5,5,20,1,NA
2,26,LL,B09,2,L3,8,5,9,1,NA
2,26,LL,B09,5,L4,11,4,9,1,1
2,26,LL,B09,11,L5,14,6,2,1,NA
2,26,HL,B09,20,L6,17,4,2,1,NA
2,26,HL,B09,33,L7,20,6,6,1,NA
2,26,HL,B09,50,L8,23,4,3,1,1
2,26,HL,B09,70,L9,26,6,10,1,NA
2,26,HL,B09,100,L10,29,4,4,1,1
2,2,LL,B10,0.1,L1,2,5,16,1,NA
2,2,LL,B10,0.5-0.7,L2,5,5,20,1,NA
2,2,LL,B10,2,L3,8,5,9,1,NA
2,2,LL,B10,5,L4,11,4,9,1,1
2,2,LL,B10,11,L5,14,6,2,1,NA
2,2,HL,B10,20,L6,17,4,2,1,NA
2,2,HL,B10,33,L7,20,6,6,1,NA
2,2,HL,B10,50,L8,23,4,3,1,1
2,2,HL,B10,70,L9,26,6,10,1,NA
2,2,HL,B10,100,L10,29,4,4,1,1
2,18,LL,B11,0.1,L1,2,5,16,1,NA
2,18,LL,B11,0.5-0.7,L2,5,5,20,1,NA
2,18,LL,B11,2,L3,8,5,9,1,NA
2,18,LL,B11,5,L4,11,4,9,1,1
2,18,LL,B11,11,L5,14,6,2,1,NA
2,18,HL,B11,20,L6,17,4,2,1,NA
2,18,HL,B11,33,L7,20,6,6,1,NA
2,18,HL,B11,50,L8,23,4,3,1,1
2,18,HL,B11,70,L9,26,6,10,1,NA
2,18,HL,B11,100,L10,29,4,4,1,1
2,21,LL,C02,0.1,L1,2,5,16,1,NA
2,21,LL,C02,0.5-0.7,L2,5,5,20,1,NA
2,21,LL,C02,2,L3,8,5,9,1,NA
2,21,LL,C02,5,L4,11,4,9,1,1
2,21,LL,C02,11,L5,14,6,2,1,NA
2,21,HL,C02,20,L6,17,4,2,1,NA
2,21,HL,C02,33,L7,20,6,6,1,NA
2,21,HL,C02,50,L8,23,4,3,1,1
2,21,HL,C02,70,L9,26,6,10,1,NA
2,21,HL,C02,100,L10,29,4,4,1,1
2,9,LL,C03,0.1,L1,2,5,16,1,NA
2,9,LL,C03,0.5-0.7,L2,5,5,20,1,NA
2,9,LL,C03,2,L3,8,5,9,1,NA
2,9,LL,C03,5,L4,11,4,9,1,1
2,9,LL,C03,11,L5,14,6,2,1,NA
2,9,HL,C03,20,L6,17,4,2,1,NA
2,9,HL,C03,33,L7,20,6,6,1,NA
2,9,HL,C03,50,L8,23,4,3,1,1
2,9,HL,C03,70,L9,26,6,10,1,NA
2,9,HL,C03,100,L10,29,4,4,1,1
2,35,LL,C04,0.1,L1,2,5,16,1,NA
2,35,LL,C04,0.5-0.7,L2,5,5,20,1,NA
2,35,LL,C04,2,L3,8,5,9,1,NA
2,35,LL,C04,5,L4,11,4,9,1,1
2,35,LL,C04,11,L5,14,6,2,1,NA
2,35,HL,C04,20,L6,17,4,2,1,NA
2,35,HL,C04,33,L7,20,6,6,1,NA
2,35,HL,C04,50,L8,23,4,3,1,1
2,35,HL,C04,70,L9,26,6,10,1,NA
2,35,HL,C04,100,L10,29,4,4,1,1
2,28,LL,C05,0.1,L1,2,5,16,1,NA
2,28,LL,C05,0.5-0.7,L2,5,5,20,1,NA
2,28,LL,C05,2,L3,8,5,9,1,NA
2,28,LL,C05,5,L4,11,4,9,1,1
2,28,LL,C05,11,L5,14,6,2,1,NA
2,28,HL,C05,20,L6,17,4,2,1,NA
2,28,HL,C05,33,L7,20,6,6,1,NA
2,28,HL,C05,50,L8,23,4,3,1,1
2,28,HL,C05,70,L9,26,6,10,1,NA
2,28,HL,C05,100,L10,29,4,4,1,1
2,26,LL,C06,0.1,L1,2,5,16,1,NA
2,26,LL,C06,0.5-0.7,L2,5,5,20,1,NA
2,26,LL,C06,2,L3,8,5,9,1,NA
2,26,LL,C06,5,L4,11,4,9,1,1
2,26,LL,C06,11,L5,14,6,2,1,NA
2,26,HL,C06,20,L6,17,4,2,1,NA
2,26,HL,C06,33,L7,20,6,6,1,NA
2,26,HL,C06,50,L8,23,4,3,1,1
2,26,HL,C06,70,L9,26,6,10,1,NA
2,26,HL,C06,100,L10,29,4,4,1,1
2,27,LL,C07,0.1,L1,2,5,16,1,NA
2,27,LL,C07,0.5-0.7,L2,5,5,20,1,NA
2,27,LL,C07,2,L3,8,5,9,1,NA
2,27,LL,C07,5,L4,11,4,9,1,1
2,27,LL,C07,11,L5,14,6,2,1,NA
2,27,HL,C07,20,L6,17,4,2,1,NA
2,27,HL,C07,33,L7,20,6,6,1,NA
2,27,HL,C07,50,L8,23,4,3,1,1
2,27,HL,C07,70,L9,26,6,10,1,NA
2,27,HL,C07,100,L10,29,4,4,1,1
2,2,LL,C08,0.1,L1,2,5,16,1,NA
2,2,LL,C08,0.5-0.7,L2,5,5,20,1,NA
2,2,LL,C08,2,L3,8,5,9,1,NA
2,2,LL,C08,5,L4,11,4,9,1,1
2,2,LL,C08,11,L5,14,6,2,1,NA
2,2,HL,C08,20,L6,17,4,2,1,NA
2,2,HL,C08,33,L7,20,6,6,1,NA
2,2,HL,C08,50,L8,23,4,3,1,1
2,2,HL,C08,70,L9,26,6,10,1,NA
2,2,HL,C08,100,L10,29,4,4,1,1
2,21,LL,C09,0.1,L1,2,5,16,1,NA
2,21,LL,C09,0.5-0.7,L2,5,5,20,1,NA
2,21,LL,C09,2,L3,8,5,9,1,NA
2,21,LL,C09,5,L4,11,4,9,1,1
2,21,LL,C09,11,L5,14,6,2,1,NA
2,21,HL,C09,20,L6,17,4,2,1,NA
2,21,HL,C09,33,L7,20,6,6,1,NA
2,21,HL,C09,50,L8,23,4,3,1,1
2,21,HL,C09,70,L9,26,6,10,1,NA
2,21,HL,C09,100,L10,29,4,4,1,1
2,anc2,LL,C10,0.1,L1,2,5,16,1,NA
2,anc2,LL,C10,0.5-0.7,L2,5,5,20,1,NA
2,anc2,LL,C10,2,L3,8,5,9,1,NA
2,anc2,LL,C10,5,L4,11,4,9,1,1
2,anc2,LL,C10,11,L5,14,6,2,1,NA
2,anc2,HL,C10,20,L6,17,4,2,1,NA
2,anc2,HL,C10,33,L7,20,6,6,1,NA
2,anc2,HL,C10,50,L8,23,4,3,1,1
2,anc2,HL,C10,70,L9,26,6,10,1,NA
2,anc2,HL,C10,100,L10,29,4,4,1,1
2,17,LL,C11,0.1,L1,2,5,16,1,NA
2,17,LL,C11,0.5-0.7,L2,5,5,20,1,NA
2,17,LL,C11,2,L3,8,5,9,1,NA
2,17,LL,C11,5,L4,11,4,9,1,1
2,17,LL,C11,11,L5,14,6,2,1,NA
2,17,HL,C11,20,L6,17,4,2,1,NA
2,17,HL,C11,33,L7,20,6,6,1,NA
2,17,HL,C11,50,L8,23,4,3,1,1
2,17,HL,C11,70,L9,26,6,10,1,NA
2,17,HL,C11,100,L10,29,4,4,1,1
2,18,LL,D02,0.1,L1,2,5,16,1,NA
2,18,LL,D02,0.5-0.7,L2,5,5,20,1,NA
2,18,LL,D02,2,L3,8,5,9,1,NA
2,18,LL,D02,5,L4,11,4,9,1,1
2,18,LL,D02,11,L5,14,6,2,1,NA
2,18,HL,D02,20,L6,17,4,2,1,NA
2,18,HL,D02,33,L7,20,6,6,1,NA
2,18,HL,D02,50,L8,23,4,3,1,1
2,18,HL,D02,70,L9,26,6,10,1,NA
2,18,HL,D02,100,L10,29,4,4,1,1
2,22,LL,D03,0.1,L1,2,5,16,1,NA
2,22,LL,D03,0.5-0.7,L2,5,5,20,1,NA
2,22,LL,D03,2,L3,8,5,9,1,NA
2,22,LL,D03,5,L4,11,4,9,1,1
2,22,LL,D03,11,L5,14,6,2,1,NA
2,22,HL,D03,20,L6,17,4,2,1,NA
2,22,HL,D03,33,L7,20,6,6,1,NA
2,22,HL,D03,50,L8,23,4,3,1,1
2,22,HL,D03,70,L9,26,6,10,1,NA
2,22,HL,D03,100,L10,29,4,4,1,1
2,4,LL,D04,0.1,L1,2,5,16,1,NA
2,4,LL,D04,0.5-0.7,L2,5,5,20,1,NA
2,4,LL,D04,2,L3,8,5,9,1,NA
2,4,LL,D04,5,L4,11,4,9,1,1
2,4,LL,D04,11,L5,14,6,2,1,NA
2,4,HL,D04,20,L6,17,4,2,1,NA
2,4,HL,D04,33,L7,20,6,6,1,NA
2,4,HL,D04,50,L8,23,4,3,1,1
2,4,HL,D04,70,L9,26,6,10,1,NA
2,4,HL,D04,100,L10,29,4,4,1,1
2,9,LL,D05,0.1,L1,2,5,16,1,NA
2,9,LL,D05,0.5-0.7,L2,5,5,20,1,NA
2,9,LL,D05,2,L3,8,5,9,1,NA
2,9,LL,D05,5,L4,11,4,9,1,1
2,9,LL,D05,11,L5,14,6,2,1,NA
2,9,HL,D05,20,L6,17,4,2,1,NA
2,9,HL,D05,33,L7,20,6,6,1,NA
2,9,HL,D05,50,L8,23,4,3,1,1
2,9,HL,D05,70,L9,26,6,10,1,NA
2,9,HL,D05,100,L10,29,4,4,1,1
2,31,LL,D06,0.1,L1,2,5,16,1,NA
2,31,LL,D06,0.5-0.7,L2,5,5,20,1,NA
2,31,LL,D06,2,L3,8,5,9,1,NA
2,31,LL,D06,5,L4,11,4,9,1,1
2,31,LL,D06,11,L5,14,6,2,1,NA
2,31,HL,D06,20,L6,17,4,2,1,NA
2,31,HL,D06,33,L7,20,6,6,1,NA
2,31,HL,D06,50,L8,23,4,3,1,1
2,31,HL,D06,70,L9,26,6,10,1,NA
2,31,HL,D06,100,L10,29,4,4,1,1
2,35,LL,D07,0.1,L1,2,5,16,1,NA
2,35,LL,D07,0.5-0.7,L2,5,5,20,1,NA
2,35,LL,D07,2,L3,8,5,9,1,NA
2,35,LL,D07,5,L4,11,4,9,1,1
2,35,LL,D07,11,L5,14,6,2,1,NA
2,35,HL,D07,20,L6,17,4,2,1,NA
2,35,HL,D07,33,L7,20,6,6,1,NA
2,35,HL,D07,50,L8,23,4,3,1,1
2,35,HL,D07,70,L9,26,6,10,1,NA
2,35,HL,D07,100,L10,29,4,4,1,1
2,35,LL,D08,0.1,L1,2,5,16,1,NA
2,35,LL,D08,0.5-0.7,L2,5,5,20,1,NA
2,35,LL,D08,2,L3,8,5,9,1,NA
2,35,LL,D08,5,L4,11,4,9,1,1
2,35,LL,D08,11,L5,14,6,2,1,NA
2,35,HL,D08,20,L6,17,4,2,1,NA
2,35,HL,D08,33,L7,20,6,6,1,NA
2,35,HL,D08,50,L8,23,4,3,1,1
2,35,HL,D08,70,L9,26,6,10,1,NA
2,35,HL,D08,100,L10,29,4,4,1,1
2,31,LL,D09,0.1,L1,2,5,16,1,NA
2,31,LL,D09,0.5-0.7,L2,5,5,20,1,NA
2,31,LL,D09,2,L3,8,5,9,1,NA
2,31,LL,D09,5,L4,11,4,9,1,1
2,31,LL,D09,11,L5,14,6,2,1,NA
2,31,HL,D09,20,L6,17,4,2,1,NA
2,31,HL,D09,33,L7,20,6,6,1,NA
2,31,HL,D09,50,L8,23,4,3,1,1
2,31,HL,D09,70,L9,26,6,10,1,NA
2,31,HL,D09,100,L10,29,4,4,1,1
2,4,LL,D10,0.1,L1,2,5,16,1,NA
2,4,LL,D10,0.5-0.7,L2,5,5,20,1,NA
2,4,LL,D10,2,L3,8,5,9,1,NA
2,4,LL,D10,5,L4,11,4,9,1,1
2,4,LL,D10,11,L5,14,6,2,1,NA
2,4,HL,D10,20,L6,17,4,2,1,NA
2,4,HL,D10,33,L7,20,6,6,1,NA
2,4,HL,D10,50,L8,23,4,3,1,1
2,4,HL,D10,70,L9,26,6,10,1,NA
2,4,HL,D10,100,L10,29,4,4,1,1
2,27,LL,D11,0.1,L1,2,5,16,1,NA
2,27,LL,D11,0.5-0.7,L2,5,5,20,1,NA
2,27,LL,D11,2,L3,8,5,9,1,NA
2,27,LL,D11,5,L4,11,4,9,1,1
2,27,LL,D11,11,L5,14,6,2,1,NA
2,27,HL,D11,20,L6,17,4,2,1,NA
2,27,HL,D11,33,L7,20,6,6,1,NA
2,27,HL,D11,50,L8,23,4,3,1,1
2,27,HL,D11,70,L9,26,6,10,1,NA
2,27,HL,D11,100,L10,29,4,4,1,1
2,26,LL,E02,0.1,L1,2,5,16,1,NA
2,26,LL,E02,0.5-0.7,L2,5,5,20,1,NA
2,26,LL,E02,2,L3,8,5,9,1,NA
2,26,LL,E02,5,L4,11,4,9,1,1
2,26,LL,E02,11,L5,14,6,2,1,NA
2,26,HL,E02,20,L6,17,4,2,1,NA
2,26,HL,E02,33,L7,20,6,6,1,NA
2,26,HL,E02,50,L8,23,4,3,1,1
2,26,HL,E02,70,L9,26,6,10,1,NA
2,26,HL,E02,100,L10,29,4,4,1,1
2,28,LL,E03,0.1,L1,2,5,16,1,NA
2,28,LL,E03,0.5-0.7,L2,5,5,20,1,NA
2,28,LL,E03,2,L3,8,5,9,1,NA
2,28,LL,E03,5,L4,11,4,9,1,1
2,28,LL,E03,11,L5,14,6,2,1,NA
2,28,HL,E03,20,L6,17,4,2,1,NA
2,28,HL,E03,33,L7,20,6,6,1,NA
2,28,HL,E03,50,L8,23,4,3,1,1
2,28,HL,E03,70,L9,26,6,10,1,NA
2,28,HL,E03,100,L10,29,4,4,1,1
2,2,LL,E04,0.1,L1,2,5,16,1,NA
2,2,LL,E04,0.5-0.7,L2,5,5,20,1,NA
2,2,LL,E04,2,L3,8,5,9,1,NA
2,2,LL,E04,5,L4,11,4,9,1,1
2,2,LL,E04,11,L5,14,6,2,1,NA
2,2,HL,E04,20,L6,17,4,2,1,NA
2,2,HL,E04,33,L7,20,6,6,1,NA
2,2,HL,E04,50,L8,23,4,3,1,1
2,2,HL,E04,70,L9,26,6,10,1,NA
2,2,HL,E04,100,L10,29,4,4,1,1
2,anc2,LL,E05,0.1,L1,2,5,16,1,NA
2,anc2,LL,E05,0.5-0.7,L2,5,5,20,1,NA
2,anc2,LL,E05,2,L3,8,5,9,1,NA
2,anc2,LL,E05,5,L4,11,4,9,1,1
2,anc2,LL,E05,11,L5,14,6,2,1,NA
2,anc2,HL,E05,20,L6,17,4,2,1,NA
2,anc2,HL,E05,33,L7,20,6,6,1,NA
2,anc2,HL,E05,50,L8,23,4,3,1,1
2,anc2,HL,E05,70,L9,26,6,10,1,NA
2,anc2,HL,E05,100,L10,29,4,4,1,1
2,18,LL,E06,0.1,L1,2,5,16,1,NA
2,18,LL,E06,0.5-0.7,L2,5,5,20,1,NA
2,18,LL,E06,2,L3,8,5,9,1,NA
2,18,LL,E06,5,L4,11,4,9,1,1
2,18,LL,E06,11,L5,14,6,2,1,NA
2,18,HL,E06,20,L6,17,4,2,1,NA
2,18,HL,E06,33,L7,20,6,6,1,NA
2,18,HL,E06,50,L8,23,4,3,1,1
2,18,HL,E06,70,L9,26,6,10,1,NA
2,18,HL,E06,100,L10,29,4,4,1,1
2,17,LL,E07,0.1,L1,2,5,16,1,NA
2,17,LL,E07,0.5-0.7,L2,5,5,20,1,NA
2,17,LL,E07,2,L3,8,5,9,1,NA
2,17,LL,E07,5,L4,11,4,9,1,1
2,17,LL,E07,11,L5,14,6,2,1,NA
2,17,HL,E07,20,L6,17,4,2,1,NA
2,17,HL,E07,33,L7,20,6,6,1,NA
2,17,HL,E07,50,L8,23,4,3,1,1
2,17,HL,E07,70,L9,26,6,10,1,NA
2,17,HL,E07,100,L10,29,4,4,1,1
2,9,LL,E08,0.1,L1,2,5,16,1,NA
2,9,LL,E08,0.5-0.7,L2,5,5,20,1,NA
2,9,LL,E08,2,L3,8,5,9,1,NA
2,9,LL,E08,5,L4,11,4,9,1,1
2,9,LL,E08,11,L5,14,6,2,1,NA
2,9,HL,E08,20,L6,17,4,2,1,NA
2,9,HL,E08,33,L7,20,6,6,1,NA
2,9,HL,E08,50,L8,23,4,3,1,1
2,9,HL,E08,70,L9,26,6,10,1,NA
2,9,HL,E08,100,L10,29,4,4,1,1
2,21,LL,E09,0.1,L1,2,5,16,1,NA
2,21,LL,E09,0.5-0.7,L2,5,5,20,1,NA
2,21,LL,E09,2,L3,8,5,9,1,NA
2,21,LL,E09,5,L4,11,4,9,1,1
2,21,LL,E09,11,L5,14,6,2,1,NA
2,21,HL,E09,20,L6,17,4,2,1,NA
2,21,HL,E09,33,L7,20,6,6,1,NA
2,21,HL,E09,50,L8,23,4,3,1,1
2,21,HL,E09,70,L9,26,6,10,1,NA
2,21,HL,E09,100,L10,29,4,4,1,1
2,22,LL,E10,0.1,L1,2,5,16,1,NA
2,22,LL,E10,0.5-0.7,L2,5,5,20,1,NA
2,22,LL,E10,2,L3,8,5,9,1,NA
2,22,LL,E10,5,L4,11,4,9,1,1
2,22,LL,E10,11,L5,14,6,2,1,NA
2,22,HL,E10,20,L6,17,4,2,1,NA
2,22,HL,E10,33,L7,20,6,6,1,NA
2,22,HL,E10,50,L8,23,4,3,1,1
2,22,HL,E10,70,L9,26,6,10,1,NA
2,22,HL,E10,100,L10,29,4,4,1,1
2,18,LL,E11,0.1,L1,2,5,16,1,NA
2,18,LL,E11,0.5-0.7,L2,5,5,20,1,NA
2,18,LL,E11,2,L3,8,5,9,1,NA
2,18,LL,E11,5,L4,11,4,9,1,1
2,18,LL,E11,11,L5,14,6,2,1,NA
2,18,HL,E11,20,L6,17,4,2,1,NA
2,18,HL,E11,33,L7,20,6,6,1,NA
2,18,HL,E11,50,L8,23,4,3,1,1
2,18,HL,E11,70,L9,26,6,10,1,NA
2,18,HL,E11,100,L10,29,4,4,1,1
2,28,LL,F02,0.1,L1,2,5,16,1,NA
2,28,LL,F02,0.5-0.7,L2,5,5,20,1,NA
2,28,LL,F02,2,L3,8,5,9,1,NA
2,28,LL,F02,5,L4,11,4,9,1,1
2,28,LL,F02,11,L5,14,6,2,1,NA
2,28,HL,F02,20,L6,17,4,2,1,NA
2,28,HL,F02,33,L7,20,6,6,1,NA
2,28,HL,F02,50,L8,23,4,3,1,1
2,28,HL,F02,70,L9,26,6,10,1,NA
2,28,HL,F02,100,L10,29,4,4,1,1
2,4,LL,F03,0.1,L1,2,5,16,1,NA
2,4,LL,F03,0.5-0.7,L2,5,5,20,1,NA
2,4,LL,F03,2,L3,8,5,9,1,NA
2,4,LL,F03,5,L4,11,4,9,1,1
2,4,LL,F03,11,L5,14,6,2,1,NA
2,4,HL,F03,20,L6,17,4,2,1,NA
2,4,HL,F03,33,L7,20,6,6,1,NA
2,4,HL,F03,50,L8,23,4,3,1,1
2,4,HL,F03,70,L9,26,6,10,1,NA
2,4,HL,F03,100,L10,29,4,4,1,1
2,21,LL,F04,0.1,L1,2,5,16,1,NA
2,21,LL,F04,0.5-0.7,L2,5,5,20,1,NA
2,21,LL,F04,2,L3,8,5,9,1,NA
2,21,LL,F04,5,L4,11,4,9,1,1
2,21,LL,F04,11,L5,14,6,2,1,NA
2,21,HL,F04,20,L6,17,4,2,1,NA
2,21,HL,F04,33,L7,20,6,6,1,NA
2,21,HL,F04,50,L8,23,4,3,1,1
2,21,HL,F04,70,L9,26,6,10,1,NA
2,21,HL,F04,100,L10,29,4,4,1,1
2,17,LL,F05,0.1,L1,2,5,16,1,NA
2,17,LL,F05,0.5-0.7,L2,5,5,20,1,NA
2,17,LL,F05,2,L3,8,5,9,1,NA
2,17,LL,F05,5,L4,11,4,9,1,1
2,17,LL,F05,11,L5,14,6,2,1,NA
2,17,HL,F05,20,L6,17,4,2,1,NA
2,17,HL,F05,33,L7,20,6,6,1,NA
2,17,HL,F05,50,L8,23,4,3,1,1
2,17,HL,F05,70,L9,26,6,10,1,NA
2,17,HL,F05,100,L10,29,4,4,1,1
2,22,LL,F06,0.1,L1,2,5,16,1,NA
2,22,LL,F06,0.5-0.7,L2,5,5,20,1,NA
2,22,LL,F06,2,L3,8,5,9,1,NA
2,22,LL,F06,5,L4,11,4,9,1,1
2,22,LL,F06,11,L5,14,6,2,1,NA
2,22,HL,F06,20,L6,17,4,2,1,NA
2,22,HL,F06,33,L7,20,6,6,1,NA
2,22,HL,F06,50,L8,23,4,3,1,1
2,22,HL,F06,70,L9,26,6,10,1,NA
2,22,HL,F06,100,L10,29,4,4,1,1
2,35,LL,F07,0.1,L1,2,5,16,1,NA
2,35,LL,F07,0.5-0.7,L2,5,5,20,1,NA
2,35,LL,F07,2,L3,8,5,9,1,NA
2,35,LL,F07,5,L4,11,4,9,1,1
2,35,LL,F07,11,L5,14,6,2,1,NA
2,35,HL,F07,20,L6,17,4,2,1,NA
2,35,HL,F07,33,L7,20,6,6,1,NA
2,35,HL,F07,50,L8,23,4,3,1,1
2,35,HL,F07,70,L9,26,6,10,1,NA
2,35,HL,F07,100,L10,29,4,4,1,1
2,31,LL,F08,0.1,L1,2,5,16,1,NA
2,31,LL,F08,0.5-0.7,L2,5,5,20,1,NA
2,31,LL,F08,2,L3,8,5,9,1,NA
2,31,LL,F08,5,L4,11,4,9,1,1
2,31,LL,F08,11,L5,14,6,2,1,NA
2,31,HL,F08,20,L6,17,4,2,1,NA
2,31,HL,F08,33,L7,20,6,6,1,NA
2,31,HL,F08,50,L8,23,4,3,1,1
2,31,HL,F08,70,L9,26,6,10,1,NA
2,31,HL,F08,100,L10,29,4,4,1,1
2,2,LL,F09,0.1,L1,2,5,16,1,NA
2,2,LL,F09,0.5-0.7,L2,5,5,20,1,NA
2,2,LL,F09,2,L3,8,5,9,1,NA
2,2,LL,F09,5,L4,11,4,9,1,1
2,2,LL,F09,11,L5,14,6,2,1,NA
2,2,HL,F09,20,L6,17,4,2,1,NA
2,2,HL,F09,33,L7,20,6,6,1,NA
2,2,HL,F09,50,L8,23,4,3,1,1
2,2,HL,F09,70,L9,26,6,10,1,NA
2,2,HL,F09,100,L10,29,4,4,1,1
2,anc2,LL,F10,0.1,L1,2,5,16,1,NA
2,anc2,LL,F10,0.5-0.7,L2,5,5,20,1,NA
2,anc2,LL,F10,2,L3,8,5,9,1,NA
2,anc2,LL,F10,5,L4,11,4,9,1,1
2,anc2,LL,F10,11,L5,14,6,2,1,NA
2,anc2,HL,F10,20,L6,17,4,2,1,NA
2,anc2,HL,F10,33,L7,20,6,6,1,NA
2,anc2,HL,F10,50,L8,23,4,3,1,1
2,anc2,HL,F10,70,L9,26,6,10,1,NA
2,anc2,HL,F10,100,L10,29,4,4,1,1
2,26,LL,F11,0.1,L1,2,5,16,1,NA
2,26,LL,F11,0.5-0.7,L2,5,5,20,1,NA
2,26,LL,F11,2,L3,8,5,9,1,NA
2,26,LL,F11,5,L4,11,4,9,1,1
2,26,LL,F11,11,L5,14,6,2,1,NA
2,26,HL,F11,20,L6,17,4,2,1,NA
2,26,HL,F11,33,L7,20,6,6,1,NA
2,26,HL,F11,50,L8,23,4,3,1,1
2,26,HL,F11,70,L9,26,6,10,1,NA
2,26,HL,F11,100,L10,29,4,4,1,1
2,27,LL,G02,0.1,L1,2,5,16,1,NA
2,27,LL,G02,0.5-0.7,L2,5,5,20,1,NA
2,27,LL,G02,2,L3,8,5,9,1,NA
2,27,LL,G02,5,L4,11,4,9,1,1
2,27,LL,G02,11,L5,14,6,2,1,NA
2,27,HL,G02,20,L6,17,4,2,1,NA
2,27,HL,G02,33,L7,20,6,6,1,NA
2,27,HL,G02,50,L8,23,4,3,1,1
2,27,HL,G02,70,L9,26,6,10,1,NA
2,27,HL,G02,100,L10,29,4,4,1,1
2,9,LL,G03,0.1,L1,2,5,16,1,NA
2,9,LL,G03,0.5-0.7,L2,5,5,20,1,NA
2,9,LL,G03,2,L3,8,5,9,1,NA
2,9,LL,G03,5,L4,11,4,9,1,1
2,9,LL,G03,11,L5,14,6,2,1,NA
2,9,HL,G03,20,L6,17,4,2,1,NA
2,9,HL,G03,33,L7,20,6,6,1,NA
2,9,HL,G03,50,L8,23,4,3,1,1
2,9,HL,G03,70,L9,26,6,10,1,NA
2,9,HL,G03,100,L10,29,4,4,1,1
